0,10844,8127,6210,4656,3820,2873,2369,2064,2221,2158,2515,4364,6526,11039,13857,15865,17920,20346,19539,20107,18984,17720,17249,18463,18908,18886,18178,19459,19546,20591,19380,18544,16228,15013,17203,19525,22966,27598,26827,24904,22875,20394,23401,24439,23318,21733,20104,16111
1,8127,6210,4656,3820,2873,2369,2064,2221,2158,2515,4364,6526,11039,13857,15865,17920,20346,19539,20107,18984,17720,17249,18463,18908,18886,18178,19459,19546,20591,19380,18544,16228,15013,17203,19525,22966,27598,26827,24904,22875,20394,23401,24439,23318,21733,20104,16111,13370
2,6210,4656,3820,2873,2369,2064,2221,2158,2515,4364,6526,11039,13857,15865,17920,20346,19539,20107,18984,17720,17249,18463,18908,18886,18178,19459,19546,20591,19380,18544,16228,15013,17203,19525,22966,27598,26827,24904,22875,20394,23401,24439,23318,21733,20104,16111,13370,9945
1.97,4656,3820,2873,2369,2064,2221,2158,2515,4364,6526,11039,13857,15865,17920,20346,19539,20107,18984,17720,17249,18463,18908,18886,18178,19459,19546,20591,19380,18544,16228,15013,17203,19525,22966,27598,26827,24904,22875,20394,23401,24439,23318,21733,20104,16111,13370,9945,7571
2.35,3820,2873,2369,2064,2221,2158,2515,4364,6526,11039,13857,15865,17920,20346,19539,20107,18984,17720,17249,18463,18908,18886,18178,19459,19546,20591,19380,18544,16228,15013,17203,19525,22966,27598,26827,24904,22875,20394,23401,24439,23318,21733,20104,16111,13370,9945,7571,5917
2.6,2873,2369,2064,2221,2158,2515,4364,6526,11039,13857,15865,17920,20346,19539,20107,18984,17720,17249,18463,18908,18886,18178,19459,19546,20591,19380,18544,16228,15013,17203,19525,22966,27598,26827,24904,22875,20394,23401,24439,23318,21733,20104,16111,13370,9945,7571,5917,4820
2.695,2369,2064,2221,2158,2515,4364,6526,11039,13857,15865,17920,20346,19539,20107,18984,17720,17249,18463,18908,18886,18178,19459,19546,20591,19380,18544,16228,15013,17203,19525,22966,27598,26827,24904,22875,20394,23401,24439,23318,21733,20104,16111,13370,9945,7571,5917,4820,3634
2.935,2064,2221,2158,2515,4364,6526,11039,13857,15865,17920,20346,19539,20107,18984,17720,17249,18463,18908,18886,18178,19459,19546,20591,19380,18544,16228,15013,17203,19525,22966,27598,26827,24904,22875,20394,23401,24439,23318,21733,20104,16111,13370,9945,7571,5917,4820,3634,2993
3.055,2221,2158,2515,4364,6526,11039,13857,15865,17920,20346,19539,20107,18984,17720,17249,18463,18908,18886,18178,19459,19546,20591,19380,18544,16228,15013,17203,19525,22966,27598,26827,24904,22875,20394,23401,24439,23318,21733,20104,16111,13370,9945,7571,5917,4820,3634,2993,2535
3.305,2158,2515,4364,6526,11039,13857,15865,17920,20346,19539,20107,18984,17720,17249,18463,18908,18886,18178,19459,19546,20591,19380,18544,16228,15013,17203,19525,22966,27598,26827,24904,22875,20394,23401,24439,23318,21733,20104,16111,13370,9945,7571,5917,4820,3634,2993,2535,2570
3.505,2515,4364,6526,11039,13857,15865,17920,20346,19539,20107,18984,17720,17249,18463,18908,18886,18178,19459,19546,20591,19380,18544,16228,15013,17203,19525,22966,27598,26827,24904,22875,20394,23401,24439,23318,21733,20104,16111,13370,9945,7571,5917,4820,3634,2993,2535,2570,2485
3.655,4364,6526,11039,13857,15865,17920,20346,19539,20107,18984,17720,17249,18463,18908,18886,18178,19459,19546,20591,19380,18544,16228,15013,17203,19525,22966,27598,26827,24904,22875,20394,23401,24439,23318,21733,20104,16111,13370,9945,7571,5917,4820,3634,2993,2535,2570,2485,2868
3.57,6526,11039,13857,15865,17920,20346,19539,20107,18984,17720,17249,18463,18908,18886,18178,19459,19546,20591,19380,18544,16228,15013,17203,19525,22966,27598,26827,24904,22875,20394,23401,24439,23318,21733,20104,16111,13370,9945,7571,5917,4820,3634,2993,2535,2570,2485,2868,4482
3.345,11039,13857,15865,17920,20346,19539,20107,18984,17720,17249,18463,18908,18886,18178,19459,19546,20591,19380,18544,16228,15013,17203,19525,22966,27598,26827,24904,22875,20394,23401,24439,23318,21733,20104,16111,13370,9945,7571,5917,4820,3634,2993,2535,2570,2485,2868,4482,6788
3.66,13857,15865,17920,20346,19539,20107,18984,17720,17249,18463,18908,18886,18178,19459,19546,20591,19380,18544,16228,15013,17203,19525,22966,27598,26827,24904,22875,20394,23401,24439,23318,21733,20104,16111,13370,9945,7571,5917,4820,3634,2993,2535,2570,2485,2868,4482,6788,11078
3.935,15865,17920,20346,19539,20107,18984,17720,17249,18463,18908,18886,18178,19459,19546,20591,19380,18544,16228,15013,17203,19525,22966,27598,26827,24904,22875,20394,23401,24439,23318,21733,20104,16111,13370,9945,7571,5917,4820,3634,2993,2535,2570,2485,2868,4482,6788,11078,13729
4.15,17920,20346,19539,20107,18984,17720,17249,18463,18908,18886,18178,19459,19546,20591,19380,18544,16228,15013,17203,19525,22966,27598,26827,24904,22875,20394,23401,24439,23318,21733,20104,16111,13370,9945,7571,5917,4820,3634,2993,2535,2570,2485,2868,4482,6788,11078,13729,16700
4.16,20346,19539,20107,18984,17720,17249,18463,18908,18886,18178,19459,19546,20591,19380,18544,16228,15013,17203,19525,22966,27598,26827,24904,22875,20394,23401,24439,23318,21733,20104,16111,13370,9945,7571,5917,4820,3634,2993,2535,2570,2485,2868,4482,6788,11078,13729,16700,19156
3.92,19539,20107,18984,17720,17249,18463,18908,18886,18178,19459,19546,20591,19380,18544,16228,15013,17203,19525,22966,27598,26827,24904,22875,20394,23401,24439,23318,21733,20104,16111,13370,9945,7571,5917,4820,3634,2993,2535,2570,2485,2868,4482,6788,11078,13729,16700,19156,19953
4.265,20107,18984,17720,17249,18463,18908,18886,18178,19459,19546,20591,19380,18544,16228,15013,17203,19525,22966,27598,26827,24904,22875,20394,23401,24439,23318,21733,20104,16111,13370,9945,7571,5917,4820,3634,2993,2535,2570,2485,2868,4482,6788,11078,13729,16700,19156,19953,19502
4.27,18984,17720,17249,18463,18908,18886,18178,19459,19546,20591,19380,18544,16228,15013,17203,19525,22966,27598,26827,24904,22875,20394,23401,24439,23318,21733,20104,16111,13370,9945,7571,5917,4820,3634,2993,2535,2570,2485,2868,4482,6788,11078,13729,16700,19156,19953,19502,18994
4.605,17720,17249,18463,18908,18886,18178,19459,19546,20591,19380,18544,16228,15013,17203,19525,22966,27598,26827,24904,22875,20394,23401,24439,23318,21733,20104,16111,13370,9945,7571,5917,4820,3634,2993,2535,2570,2485,2868,4482,6788,11078,13729,16700,19156,19953,19502,18994,17311
4.385,17249,18463,18908,18886,18178,19459,19546,20591,19380,18544,16228,15013,17203,19525,22966,27598,26827,24904,22875,20394,23401,24439,23318,21733,20104,16111,13370,9945,7571,5917,4820,3634,2993,2535,2570,2485,2868,4482,6788,11078,13729,16700,19156,19953,19502,18994,17311,17904
4.59,18463,18908,18886,18178,19459,19546,20591,19380,18544,16228,15013,17203,19525,22966,27598,26827,24904,22875,20394,23401,24439,23318,21733,20104,16111,13370,9945,7571,5917,4820,3634,2993,2535,2570,2485,2868,4482,6788,11078,13729,16700,19156,19953,19502,18994,17311,17904,17133
4.545,18908,18886,18178,19459,19546,20591,19380,18544,16228,15013,17203,19525,22966,27598,26827,24904,22875,20394,23401,24439,23318,21733,20104,16111,13370,9945,7571,5917,4820,3634,2993,2535,2570,2485,2868,4482,6788,11078,13729,16700,19156,19953,19502,18994,17311,17904,17133,18589
4.97,18886,18178,19459,19546,20591,19380,18544,16228,15013,17203,19525,22966,27598,26827,24904,22875,20394,23401,24439,23318,21733,20104,16111,13370,9945,7571,5917,4820,3634,2993,2535,2570,2485,2868,4482,6788,11078,13729,16700,19156,19953,19502,18994,17311,17904,17133,18589,19134
5.18,18178,19459,19546,20591,19380,18544,16228,15013,17203,19525,22966,27598,26827,24904,22875,20394,23401,24439,23318,21733,20104,16111,13370,9945,7571,5917,4820,3634,2993,2535,2570,2485,2868,4482,6788,11078,13729,16700,19156,19953,19502,18994,17311,17904,17133,18589,19134,19259
5.385,19459,19546,20591,19380,18544,16228,15013,17203,19525,22966,27598,26827,24904,22875,20394,23401,24439,23318,21733,20104,16111,13370,9945,7571,5917,4820,3634,2993,2535,2570,2485,2868,4482,6788,11078,13729,16700,19156,19953,19502,18994,17311,17904,17133,18589,19134,19259,18667
5,19546,20591,19380,18544,16228,15013,17203,19525,22966,27598,26827,24904,22875,20394,23401,24439,23318,21733,20104,16111,13370,9945,7571,5917,4820,3634,2993,2535,2570,2485,2868,4482,6788,11078,13729,16700,19156,19953,19502,18994,17311,17904,17133,18589,19134,19259,18667,19078
4.95,20591,19380,18544,16228,15013,17203,19525,22966,27598,26827,24904,22875,20394,23401,24439,23318,21733,20104,16111,13370,9945,7571,5917,4820,3634,2993,2535,2570,2485,2868,4482,6788,11078,13729,16700,19156,19953,19502,18994,17311,17904,17133,18589,19134,19259,18667,19078,18546
